F48_35.35_105335_7827_A,F48_35.35_105335_7827,F48_35.35,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000177015,F48_35.35_105335_11,AGAAOJGI_01490,CDS,2415.0,infB,,,Translation initiation factor IF-2,0.784733281572234
F48_35.35_105335_8691_A,F48_35.35_105335_8691,F48_35.35,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000177015,F48_35.35_105335_11,AGAAOJGI_01490,CDS,2415.0,infB,,,Translation initiation factor IF-2,0.315279000724071
F48_35.35_107811_586_G,F48_35.35_107811_586,F48_35.35,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000177015,F48_35.35_107811_1,,,,,,,,0.212140804945494
F48_35.35_107811_767_G,F48_35.35_107811_767,F48_35.35,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000177015,F48_35.35_107811_1,,,,,,,,0.0532838196636913
F48_35.35_107811_840_A,F48_35.35_107811_840,F48_35.35,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000177015,F48_35.35_107811_1,,,,,,,,0.0018314904642121
F48_35.35_107811_845_G,F48_35.35_107811_845,F48_35.35,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000177015,F48_35.35_107811_1,,,,,,,,0.194566909636581
F48_35.35_107811_851_C,F48_35.35_107811_851,F48_35.35,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000177015,F48_35.35_107811_1,,,,,,,,0.311285557857461
F48_35.35_107811_965_A,F48_35.35_107811_965,F48_35.35,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000177015,F48_35.35_107811_1,,,,,,,,0.35426912566358
F48_35.35_107811_1004_A,F48_35.35_107811_1004,F48_35.35,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000177015,F48_35.35_107811_1,,,,,,,,0.373172579874132
F48_35.35_107811_3324_C,F48_35.35_107811_3324,F48_35.35,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000177015,F48_35.35_107811_3,AGAAOJGI_01530,CDS,2343.0,spoIIE,3.1.3.16,COG2208,Stage II sporulation protein E,0.0976139667477482
